,ID,Comment
0,              문복희 Eat with Boki            ,"안녕하세용 오늘은 야들바삭한 텐동에 칼칼한 김치우동까지 가지고 왔습니당! 온천 달걀 추가는 필쑤✨튀김은 붕장어, 꽈리고추, 연근, 팽이버섯, 김, 새우, 가지, 고구마, 오징어, 단호박, 전복까지 엄청 다양하고 푸짐해서 먹는 재미가 있더라구용 희희특히 김튀김이 적당히 짭짤한게 제 스타일이였고 붕장어도 살이 두툼하고 부들부들해서 너무 맛있었어요! 믿고 먹는 새우튀김도 겉바속촉 제대로,, 🙃👍🏻신발을 튀겨도 맛있다는데 증말 채소 하나하나 바삭바삭한게 너무 좋았어용😚살짝 느끼할 때는 김치우동 한입 먹어주면 다시 시작할 수 있쥬?밥에 단짠단짠한 간장 살짝, 후리가케 살짝 뿌려서 섞어준 다음 튀김이랑 먹으면 그냥 행복 그자체~😇 오늘도 잘 먹었습니당🙏🏻💕Hello everyone ! This is Boki🤗Today, I brought crispy ten-dong and spicy kimchi udon!There were so many kinds of fried food that it was fun to eat😚Especially, the fried seaweed was moderately salty, and the eel was very delicious because it was thick and soft! Fried shrimp also very moist and delicious👍🏻It was perfect to eat kimchi udon when it was a little greasy!Perfect combination today🥳Enjoy your meal too🙏🏻💕"
1,              RED ASMR            ,I love the crispy sound 😍
2,              chanhee_cutie            ,"It’s the legendary “Anyeonghasaeyo, Boki-yo!”"
3,              Ju Liang            ,Who is watching this with empty stomach and the thought that you can never eat something like this ;-;
4,              ASMR Fresh            ,Let’s see how many people loves eat with Boki 🙋🏻‍♀️😍
5,              BTS ARMY SANIA            ,Boki:I'll officially start eating now!!Me:gurlll you already ate more than half of it😂
6,              Mrs Mini Purple            ,Who else randomly started watching and now have became the biggest fan of her
7,              Genevieve Bogawit            ,"Her signature ""Ill officially start eating now""😂"
8,              Hippo ASMR 입큰하마            ,Let's see how many Boki international fans are here 💜
9,              unknown            ,Others: earn to eat Muckbangers: eat to earn🤣😂🤣😂🤣
10,              ZUU MUKBANG            ,Yuumy 😘😘
11,              Sunilkumar G            ,No one:Literally no one:Not even jimin's lost jams:Boki: saying I'm officially start eating now after completing 3/4th of the food
12,              matsu            ,its confirmed that i love boki in such unhealthy amount and i aint complaining
13,              chanhee_cutie            ,Boki is so beautiful even when she’s eating😭
14,              Radhika Chaweria            ,Boki complementing the food Food be like : These words make us more afraid of boki's hole
15,              Jep            ,One of the cleanest mukbang content creator
16,              Mary Kim            ,FAN FROM THE PHILIPPINES🇵🇭🇵🇭 💖
17,              Maria Criselda Gallardo            ,"At 7:24, Boki is like, ""I'll officially start eating now."" 😅😜😂😁🤣So, she's just doing a taste test earlier?? 😜😅😂😁🤣"
18,              chanhee_cutie            ,Let’s see how many international fans are here💕
19,              sena'            ,Oruçluyken izlenir gibi 😽🔫
20,              KuRoNuma Kaze            ,She's always advertising the food💕
21,              Haru-ya's dan oh            ,I am early😅😅😅 I really love the  crunchy sound when you eatRamadan Mubarak to all my Muslim friendsLots of love from India❤❤❤🇮🇳🇮🇳🇮🇳Please try Indian Food
22,              Gesture            ,Her smile is beautiful
23,              eren's hoes            ,6:33 This is the first time Boki drop her food tho and it's cute XD I watched her from beginning but never seen her accidentally dropping her food lmao
24,              Aigera Akman            ,🇰🇿🇰🇿🇰🇿❤️
25,              rx            ,“I’ll sprinkle on some furikake”also boki: spill half of the bowl
26,              MA. ROSYLYN A3 CUIZON            ,my day is  not perfect when i can't watch boki eating
27,              afsheen kaka khel            ,I love how clean Boki is with her food 😭💙❤️❤️
28,              andrew pawley            ,Tuesday night with Boki!
29,              Shahaira jane Delgado            ,Uhhh how do you eat so clean know Wonder they call you the Queen of mukbangers/ASMR queen 👑👑👑Btw always watching your vlogs💗💗
30,              Squisshy            ,Watching this while fasting 😭😭😭
31,              francia sauceda            ,I lost it when the fried seaweed broke😂
32,              Dhanvita Basavaraj            ,Its actually really funny how her haters have also subscribed 😂 Her haters are more faster than her fans xd
33,              Hart Paja            ,"Everytime I feel down, "" annyeonghaseyo, boki-ieyo"" keeps ringing in my head 😊"
34,              Chris ASMR 크리스            ,The assortment of your meal looks elegant and just delicious! Burning with desire to eat all this right now 🍓💕
35,              its _sh39            ,انـا صايمـة في رمضـان 💔💔💔💔💔💔💔💔
36,              ぴょん            ,天ぷらには醤油より麺つゆかポン酢が合うよ〜(  ᷇࿀ ᷆ )⤴︎ ⤴︎韓国に麺つゆっぽいものがあるかは謎w
37,              Michelle Angeles            ,Who loves Boki here?🙋‍♀️🥰I'm always waiting for her upload videos🥺
38,              Bts love            ,I love that crunchy ness
39,              Chay bato            ,Why does korean’s makes everything look yummy when they’re eating it
40,              Vanessa Muliya            ,Thought something was wrong with my internet when I didn't get the notification at 2 exactly 😅
41,              Hanna Nicole Dialimas            ,Imagine getting a heart from Boki ❣️❣️
42,              Aigera Akman            ,5-минут назад😍I’m from Kazakhstan❤️Salem Korea
43,              NIVEDITA            ,I know I have to suffer through every video boki posts but I still seem to watch it 😅
44,              Elizabeth Belford            ,2:47 the surprise upon dropping it💔🥺
45,              메이플유저            ,자네...한국인을 찾나?
46,              Qian Jing            ,EARLY! Boki's big bite 🤤
47,              GIRÜ kitsune            ,I luv the crunchy sound UwU
48,              Marie Flora            ,Amo tanto Mukbang que fiz um canal assim 🍜🍜🍜🍕🍕🍕
49,              KIᗰ ᑫᑌTᗩఌ            ,چەند فانی کوردی بوکی لێرە هەیە  و بە هەمومانەوە هیواداریین ژێرنوسی کوردیزییاد بکەیت😊
50,              sıkıldım evde aq            ,I'm fasting and I'm torturing myself by watching videos like this🥺🤝
51,              This Guy Telmen            ,Watching Boki eat is my daily routine.
52,              imelda ringo            ,That part when Boki pick up the bowl and drink the broth ..... that is soooooo satisfying ... ❤️❤️
53,              POE            ,Completely satisfied when i watch it with 2× .
